Player,Skill Tier,time_played,games_won,win_percentage,weapon_accuracy_best_in_game,eliminations_per_life,kill_streak_best,eliminations_avg_per_10_min,deaths_avg_per_10_min,final_blows_avg_per_10_min,solo_kills_avg_per_10_min,objective_kills_avg_per_10_min,objective_time_avg_per_10_min,hero_damage_done_avg_per_10_min,healing_done_avg_per_10_min,scoped_accuracy_best_in_game,self_healing,self_healing_most_in_game,enemies_slept,nano_boost_assists,unscoped_accuracy_best_in_game,enemies_slept_most_in_game,nano_boost_assists_most_in_game,biotic_grenade_kills
태태리#31864,Master,7901,5,41,38,1.56,10,9.72,6.23,2.51,0.15,3.19,53,3250,9006,73,4399,667,64,45,70,9,7,54
Beancan#1140,Master,6952,6,64,35,2.05,13,10.96,5.35,2.93,0.09,3.28,43,4138,8055,96,2696,726,69,40,73,14,8,62
GON#11293,Master,10029,9,52,38,1.82,8,9.03,4.97,2.21,0.24,3.53,59,2883,8479,82,6070,805,72,43,76,11,6,65
n0mini#2601,Master,10940,11,58,43,1.83,8,10.97,5.98,1.86,0.11,3.13,56,3504,7321,82,3623,313,116,59,69,10,8,110
HanzotoHanzo#1552,Master,3320,3,51,43,2.39,9,12.11,5.06,2.35,0,3.8,17,3836,7472,75,1127,400,31,18,67,11,4,28
PenguinSF#1474,Master,4374,3,64,43,1.36,6,6.72,4.94,1.78,0,2.74,53,3089,7595,80,353,164,37,11,71,9,4,26
CrosFitJesus#1588,Master,3876,1,18,23,1.64,5,9.13,5.57,1.86,0.15,3.41,51,3025,9394,69,638,162,39,23,59,10,7,25
TheBogomol#2354,Master,3529,6,68,44,2.07,8,10.2,4.93,1.53,0,4.59,61,3153,8553,78,1649,378,22,18,75,5,8,25
GameBoyAdmin#2779,Master,5583,3,25,46,1.1,6,7.09,6.45,1.83,0.11,1.83,27,4165,8020,71,3748,572,45,20,68,8,5,28
Disguised#21864,Master,8319,9,68,30,1.97,8,8.65,4.4,2.31,0,2.38,73,2410,8875,78,2748,432,65,68,65,12,9,49
automatic#21135,Master,7184,7,67,42,1.63,7,9.52,5.85,1.59,0.25,3.01,55,3259,6315,100,1766,350,70,35,71,8,5,63
weakeyes#2810,Master,3157,2,47,47,1.84,5,10.83,5.89,2.28,0.19,2.66,46,5315,5210,65,1336,328,29,9,71,9,3,27
Systemaa#1554,Master,8203,7,57,38,1.64,8,8.27,5.05,1.97,0.07,2.41,60,2946,7623,69,4658,834,61,34,100,9,7,43
긍정적으로살자#31284,Master,864,0,0,25,1.38,4,7.64,5.55,2.08,0,2.08,17,4042,9338,65,504,414,5,4,61,3,3,6
kofuryo#1374,Master,9599,8,49,39,1.72,11,9.38,5.44,2.25,0.25,3.25,53,3667,8188,75,2237,436,57,44,66,12,6,58
fuglaaXY#2827,Master,53660,43,59,48,1.61,14,9.22,5.74,2.46,0.23,2.18,30,4667,7613,100,24718,835,517,233,90,18,10,375
AlecRave#1784,Master,2567,3,76,32,1.52,5,8.18,5.38,1.64,0,2.34,63,3324,6906,71,1511,491,20,8,66,7,4,18
Boyanne#2415,Master,4084,2,41,34,1.62,10,8.82,5.44,1.91,0,3.82,59,4156,8304,69,1502,786,35,16,59,10,5,27
Teal#21998,Master,13987,9,43,67,2.58,11,11.5,4.46,2.96,0.3,2.06,24,4544,6520,75,5083,599,130,56,98,14,7,118
dragomati#1305,Master,35127,36,65,39,2.4,16,12.2,5.09,3.19,0.24,4.53,54,3988,7906,85,16091,793,290,208,67,10,10,348
MaeiveeTTV#2578,Master,1455,1,54,40,1.11,4,8.25,7.42,2.47,0,2.06,31,3784,8580,73,756,364,16,8,77,4,3,12
CHEPY#21475,Master,1596,1,42,34,1.39,8,9.4,6.77,2.63,0,2.26,20,4499,7355,65,648,291,13,8,63,5,3,11
Horuseus#21827,Master,4963,3,40,27,2.15,7,10.64,4.96,2.9,0,2.78,45,3219,9140,70,2095,484,36,22,64,8,6,34
